s0068;Sandberger, Adolf Wilhelm August;90
r1035;Rheinberger, Joseph;77
h0015;Haas, Joseph;59
c0249;Courvoisier, Walter;50
m0908;Mottl, Felix;47
t0153;Thuille, Ludwig Wilhelm Andreas Maria;44
k1020;Kroyer, Theodor;37
z0180;Zilcher, Hermann;33
m0639;Metternich, Josef;32
b0336;Beer-Walbrunn, Anton;32
r0211;Reger, Max;30
w0166;Waltershausen, Hermann Wolfgang von;30
p0354;Pfitzner, Hans;28
s0681;Schmid-Lindner, August;27
f0216;Ficker, Rudolf von;27
r1365;Riemann, Hugo;25
o0104;Orff, Carl;25
h0876;Hey, Julius;23
k0513;Klose, Friedrich;22
p0192;Pembaur, Josef (2);22
l0024;Lachner, Franz Paul;22
g0233;Georgiades, Thrasybulos Georgios;20
s2289;Salieri, Antonio;20
k0233;Kellermann, Bertold;20
g0904;Gurlitt, Wilibald;19
s0306;Schering, Arnold;19
h0474;Hauptmann, Moritz;18
h0960;Hindemith, Paul;18
a0975;Adler, Guido;18
l0603;Liszt, Franz;18
s1176;Schwickerath, Eberhard;18
b0965;Bruckner, Anton;17
h0477;Hausegger, Siegmund von;17
a0884;Albrechtsberger, Johann Georg;17
h0027;Haberl, Franz Xaver;17
h1410;Hotter, Hans;17
s2900;Stolzenberg, Benno;17
g0162;Geierhaas, Gustav;16
g0405;Gluth, Victor;16
w0958;Wolf, Johannes;16
b0549;Bialas, Günter;16
f0441;Fortner, Wolfgang;16
h1568;Humperdinck, Engelbert;16
s1197;Sechter, Simon;16
g0227;Genzmer, Harald;15
b0289;Becht, Joseph Anton;15
j0093;Joachim, Joseph;15
g0526;Grätz, Joseph;15
w1009;Wüllner, Franz;15
l1519;Hirzel-Langenhan, Anna;14
h0272;Haller, Michael;14
d0071;David, Johann Nepomuk;14
l0322;Lehrndorfer, Franz;13
s2315;Schönberg, Arnold;13
b1115;Bussmeyer, Hans;13
k0561;Knappe, Heinrich;13
s3667;Straube, Karl;12
v0152;Vogler, Georg Joseph;12
b0888;Braunfels, Walter;12
r0681;Röhr, Hugo;12
o0105;Orgeni, Aglaja;11
l0728;Lorenz, Alfred Ottokar;11
a0015;Abendroth, Hermann;11
l0448;Levi, Hermann;11
b0310;Becker, Hugo;10
h1071;Höller, Karl;10
n0201;Nikisch, Arthur;10
s0615;Schmid, Heinrich Kaspar;10
f0649;Fröhlich, Franz Joseph;10
h0561;Hegar, Johannes;10
h1326;Holzbauer, Ignaz Jakob;10
w1136;Winter, Peter von;10
k0879;Krauss, Clemens;10
k0374;Killmayer, Wilhelm;10
l0026;Lachner, Vincenz;10
d0474;Danzi, Franz Ignaz;10
b1316;Bach, Johann Sebastian;9
b0685;Blume, Friedrich;9
m0460;Maier, Ludwig Felix;9
g0816;G??schrey, Richard;9
s1122;Schwartz, Heinrich;9
b0958;Bruch, Max;9
f0283;Fischer, Edwin;9
m1152;Martini, Johann Baptist;9
w0982;Wolfrum, Philipp;9
s2150;Swarowsky, Hans;9
w0347;Weingartner, Felix;9
l0594;Lipps, Theodor;8
p0191;Pembaur, Josef;8
s0297;Scherchen, Hermann;8
s2081;Stumpf, Carl;8
r0893;Rüdinger, Gottfried;8
k0101;Karajan, Herbert von;8
d0332;Dorfmüller, Franz;8
s1592;Spohr, Louis;8
s4068;Schünemann, Georg;8
g0426;Göllner, Theodor;8
m1151;Messiaen, Olivier;7
k0883;Kraus, Felix von;7
t0645;Thomas, Kurt;7
b0921;Bresgen, Cesar;7
b1047;Bülow, Hans Guido von;7
a0510;Abert, Hermann Josef;7
b0419;Berberich, Ludwig;7
j0407;Jaques-Dalcroze, Emile;7
r0513;Richter, Karl;7
k0563;Knappertsbusch, Hans;7
s1727;Steglich, Rudolf;7
s4035;Sachs, Curt;6
w1008;Wührer, Friedrich;6
l0274;Lechner, Konrad;6
s1617;Stadelmann, Li;6
m0227;Marx, Karl;6
d0350;Draeseke, Felix;6
h0899;Hieber, Otto;6
s0352;Schiedermair, Ludwig;6
r0451;Reuß, August;6
k0728;Koeßler, Hans von;6
f0772;Fux, Johann Joseph;6
j0310;Jommelli, Niccolò;6
b0320;Becking, Gustav;6
g0406;Gmeindl, Walther;6
r0418;Renner, Joseph;6
e0854;Eldering, Bram;6
k0032;Kahn, Robert;6
h0838;Herzogenberg, Heinrich von;6
g0800;Grützmacher, Friedrich;6
h0562;Hegar, Friedrich;6
s4019;Stross, Wilhelm;6
t0203;Tillmetz, Rudolph;5
w1864;Widor, Charles-Marie;5
m0914;Mozart, Wolfgang Amadeus;5
s1713;Stavenhagen, Bernhard;5
h1550;Hummel, Bertold;5
p0388;Piechler, Arthur;5
s1764;Steinbach, Fritz;5
r0568;Riehl, Wilhelm Heinrich;5
k0110;Karg-Elert, Sigfrid;5
b0067;Bärmann, Karl;5
m1204;Moscheles, Ignaz;5
r0463;Reutter, Hermann;5
m0190;Martienssen, Carl Adolf;5
s0609;Schmidt, Gustav Friedrich;5
k0082;Kaminski, Heinrich;5
k0259;Kempff, Wilhelm Friedrich Walter;5
u0066;Ursprung, Otto;5
b0729;Böhm, Theobald;5
p0458;Pisendel, Johann Georg;5
p0888;Porpora, Nicola;5
h1558;Hummel, Johann Nepomuk;5
r0573;Riepel, Joseph;5
b1260;Bernstein, Leonard;5
s2331;Stockhausen, Karlheinz;5
m0580;Menter, Joseph;5
t0699;Tartini, Giuseppe;5
m1336;Mantius, Jacob Eduard;5
s1680;Stamitz, Johann Wenzel Anton;4
o0139;Osthoff, Helmuth;4
r0773;Rosbaud, Hans;4
a0530;Albert, Heinrich;4
d0245;Distler, August Hugo;4
h0749;Henze, Hans Werner;4
k1321;Kozeluch, Leopold Anton;4
f0825;Finke, Fidelio F.;4
l0025;Lachner, Ignaz;4
s2314;Schnabel, Artur;4
c0123;Chadwick, George W.;4
h1060;Högner, Friedrich Johannes Paul;4
k0431;Kistler, Cyrill;4
w1834;Wellesz, Egon Joseph;4
l0076;Lampe, Walther;4
k1363;Krapp, Edgar;4
m0072;Mainardi, Enrico;4
b1107;Busch, Fritz;4
b0244;Baumgartner, Paul;4
